iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
UKR,Ucrânia,Q1899,Q212,1,2967360,2020,50.45,30.523611111111
UKR,Ucrânia,Q1874,Q105822583,0,1017699,2020,46.47747,30.73262
UKR,Ucrânia,Q157835,Q49518,0,895000,1994,47.85,35.1175
UKR,Ucrânia,Q157137,Q104716528,0,782700,1995,47.91,33.39
UKR,Ucrânia,Q7525,Q2184,0,522057,2021,44.605,33.5225
UKR,Ucrânia,Q19566,Q139671,0,374000,1992,44.948376,34.100039
UKR,Ucrânia,Q157144,Q166709,0,372432,2015,49.237222222222,28.467222222222
UKR,Ucrânia,Q157134,Q110857645,0,347376,2017,48.055555555556,37.961111111111
UKR,Ucrânia,Q157053,Q103858737,0,299609,2006,51.493888888889,31.294722222222
UKR,Ucrânia,Q157055,Q161808,0,281549,2017,49.444444444444,32.059722222222
UKR,Ucrânia,Q156752,Q133356,0,270870,2015,50.906666666667,34.799166666667
UKR,Ucrânia,Q157260,Q110814348,0,256714,2013,48.333611111111,38.0925
UKR,Ucrânia,Q158292,Q133356,0,248367,2005,48.510277777778,32.266666666667
UKR,Ucrânia,Q33342,Q102314222,0,215200,1998,49.795555555556,30.116666666667
UKR,Ucrânia,Q157065,Q756294,0,174365,1989,45.338611111111,36.468055555556
UKR,Ucrânia,Q33292,Q171334,0,135000,1996,46.755555555556,36.788888888889
UKR,Ucrânia,Q33345,Q17266370,0,113500,1998,45.2,33.358333333333
UKR,Ucrânia,Q156760,Q103820607,0,112102,2018,47.566667,34.4
UKR,Ucrânia,Q33280,Q99481107,0,96161,2020,48.916944444444,38.430555555556
UKR,Ucrânia,Q146456,Q170213,0,86257,2005,48.441388888889,22.713611111111
