iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
LKA,Sri Lanka,Q35381,http://www.wikidata.org/entity/Q606287,1,752993,,6.9266666666667,79.860555555556
LKA,Sri Lanka,Q24462,http://www.wikidata.org/entity/Q606287,0,234559,,6.8397222222222,79.875833333333
LKA,Sri Lanka,Q2616818,http://www.wikidata.org/entity/Q206344,0,191040,,7.0916666666667,79.999722222222
LKA,Sri Lanka,Q829211,http://www.wikidata.org/entity/Q728935,0,164969,,6.4666666666667,79.983333333333
LKA,Sri Lanka,Q203197,http://www.wikidata.org/entity/Q190716,0,161000,,7.2930555555556,80.635
LKA,Sri Lanka,Q668616,http://www.wikidata.org/entity/Q206344,0,150364,,7.2111111111111,79.838611111111
LKA,Sri Lanka,Q41963,http://www.wikidata.org/entity/Q606287,0,115826,,6.9,79.916388888889
LKA,Sri Lanka,Q323873,http://www.wikidata.org/entity/Q1493318,0,115443,,8.5666666666667,81.233333333333
LKA,Sri Lanka,Q810963,http://www.wikidata.org/entity/Q810960,0,95489,,7.7166666666667,81.7
LKA,Sri Lanka,Q319366,http://www.wikidata.org/entity/Q876308,0,93118,,6.0327777777778,80.215555555556
LKA,Sri Lanka,Q377343,http://www.wikidata.org/entity/Q787421,0,91550,,7.851389,80.654167
LKA,Sri Lanka,Q1101382,http://www.wikidata.org/entity/Q474395,0,91457,,7.4166666666667,81.816666666667
LKA,Sri Lanka,Q215277,http://www.wikidata.org/entity/Q1520182,0,88138,,9.6647222222222,80.016666666667
LKA,Sri Lanka,Q1191330,http://www.wikidata.org/entity/Q527980,0,75175,,8.75,80.483333333333
LKA,Sri Lanka,Q13360574,http://www.wikidata.org/entity/Q876308,0,68244,,5.95,80.533333333333
LKA,Sri Lanka,Q14220105,http://www.wikidata.org/entity/Q876339,0,65000,,8.16666667,79.71666667
LKA,Sri Lanka,Q5724,http://www.wikidata.org/entity/Q612614,0,63208,,8.335,80.410833333333
LKA,Sri Lanka,Q5002774,,0,53084,,6.760100710292,81.247287416227
LKA,Sri Lanka,Q390096,http://www.wikidata.org/entity/Q799713,0,43000,,6.9847222222222,81.056388888889
LKA,Sri Lanka,Q507144,http://www.wikidata.org/entity/Q1587508,0,37339,,9.2833333333333,80.8
