iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
LUX,Luxemburgo,Q1842,Q691741,1,136208,2025,49.610555555556,6.1327777777778
LUX,Luxemburgo,Q16010,Q188283,0,37455,2024,49.496944444444,5.9805555555556
LUX,Luxemburgo,Q16012,Q188283,0,30364,2024,49.5222,5.8917
LUX,Luxemburgo,Q16014,Q188283,0,22043,2024,49.483333333333,6.0833333333333
LUX,Luxemburgo,Q602441,Q188283,0,20903,2024,49.556388888889,5.8769444444444
LUX,Luxemburgo,Q921321,Q691741,0,16836,2024,49.570833333333,6.1513888888889
LUX,Luxemburgo,Q284855,Q753917,0,10519,2024,49.75,6.1
LUX,Luxemburgo,Q921291,Q397678,0,10473,2022,49.628333333333,6.0261111111111
LUX,Luxemburgo,Q939625,Q188283,0,9889,2024,49.486111111111,6.0388888888889
LUX,Luxemburgo,Q917508,Q691741,0,8866,2024,49.662777777778,6.1333333333333
LUX,Luxemburgo,Q16050,Q691842,0,7295,2023,49.868055555556,6.1566666666667
LUX,Luxemburgo,Q432495,Q397678,0,6859,2024,49.666666666667,6.0333333333333
LUX,Luxemburgo,Q219089,Q677804,0,6393,2023,49.533333333333,5.9333333333333
LUX,Luxemburgo,Q204317,Q720221,0,5870,2023,49.811666666667,6.4216666666667
LUX,Luxemburgo,Q914847,Q188283,0,5775,2024,49.459722222222,6.0305555555556
LUX,Luxemburgo,Q215826,Q836002,0,5193,2024,49.680555555556,6.4416666666667
LUX,Luxemburgo,Q256978,Q753917,0,4658,2024,49.7,6.15
LUX,Luxemburgo,Q426998,Q397678,0,4635,2023,49.5875,5.9833333333333
LUX,Luxemburgo,Q596040,Q691741,0,4374,2023,49.584722222222,6.2263888888889
LUX,Luxemburgo,Q24454,Q691793,0,3580,2024,50.116666666667,6.0
